Date,Temperature (°C),Humidity (%),Rainfall (mm),Wind Speed (km/h)
2025-01-01,31.87,60.53,3.2,18.2
2025-01-02,25.16,77.25,5.65,7.59
2025-01-03,25.42,69.03,2.88,9.51
2025-01-04,23.78,70.94,7.91,9.36
2025-01-05,29.6,54.05,1.34,11.16
2025-01-06,20.1,66.69,0.48,16.87
2025-01-07,32.23,72.41,0.7,12.04
2025-01-08,24.72,55.46,2.22,9.92
2025-01-09,27.96,62.34,1.76,13.87
2025-01-10,26.25,65.33,7.91,10.2
2025-01-11,31.39,51.27,3.35,15.37
2025-01-12,20.82,68.15,1.31,12.92
2025-01-13,26.03,73.46,6.23,16.17
2025-01-14,25.85,56.4,2.83,10.02
2025-01-15,30.4,68.51,1.53,21.09
2025-01-16,23.7,51.88,5.75,14.47
2025-01-17,26.48,64.61,5.25,13.96
2025-01-18,24.37,48.84,3.13,11.85
2025-01-19,27.13,76.21,6.82,9.82
2025-01-20,28.75,69.09,4.26,9.4
2025-01-21,23.7,64.75,7.23,11.59
2025-01-22,30.43,57.25,5.01,9.61
2025-01-23,29.7,77.74,7.12,12.85
2025-01-24,28.51,84.67,4.22,9.52
2025-01-25,29.7,46.42,1.56,13.86
2025-01-26,24.95,77.36,8.9,14.87
2025-01-27,26.63,81.28,2.91,9.88
2025-01-28,24.19,68.38,3.6,15.58
2025-01-29,26.2,53.01,2.6,11.29
2025-01-30,28.59,73.63,3.59,15.47
2025-01-31,24.93,63.19,4.49,13.31
2025-02-01,25.81,58.96,4.4,15.37
2025-02-02,24.94,52.7,5.32,9.01
2025-02-03,24.46,70.51,7.58,11.68
2025-02-04,24.99,72.93,3.76,16.35
2025-02-05,26.96,58.76,1.53,10.15
2025-02-06,23.65,70.21,1.64,5.89
2025-02-07,27.7,53.56,2.67,6.17
2025-02-08,31.98,73.02,0.65,4.48
2025-02-09,29.23,65.47,5.65,5.66
2025-02-10,26.42,63.13,3.0,10.77
2025-02-11,24.34,63.98,3.38,15.84
2025-02-12,24.76,73.69,4.0,10.67
2025-02-13,32.08,72.5,1.21,12.97
2025-02-14,27.15,70.29,2.28,11.67
2025-02-15,25.09,66.38,5.35,12.03
2025-02-16,27.57,65.78,5.24,11.5
2025-02-17,33.3,71.18,3.11,11.48
2025-02-18,27.36,67.32,7.62,13.38
2025-02-19,28.85,71.83,1.39,8.47
2025-02-20,27.9,61.9,3.31,15.03
2025-02-21,25.94,40.65,3.54,14.76
2025-02-22,23.57,75.39,0.0,11.41
2025-02-23,25.95,86.87,7.88,14.42
2025-02-24,26.37,69.41,4.73,9.9
2025-02-25,28.76,64.0,1.91,10.39
2025-02-26,29.52,63.64,8.1,12.47
2025-02-27,29.79,63.81,5.17,11.43
2025-02-28,27.86,65.17,4.86,10.65
2025-03-01,29.66,53.78,2.79,9.98
2025-03-02,24.74,59.83,4.21,10.33
2025-03-03,30.76,55.03,0.95,14.82
2025-03-04,28.54,67.49,5.59,6.17
2025-03-05,26.11,62.03,3.25,13.06
2025-03-06,28.47,69.95,4.27,11.29
2025-03-07,26.77,63.25,6.4,14.18
2025-03-08,30.39,74.86,4.57,13.55
2025-03-09,31.56,67.14,4.52,3.65
2025-03-10,33.56,86.91,4.55,13.75
2025-03-11,22.81,46.04,2.53,12.97
2025-03-12,22.67,58.53,5.67,12.07
2025-03-13,25.49,74.01,7.09,10.59
2025-03-14,27.48,90.28,5.52,14.56
2025-03-15,29.63,62.51,5.77,10.76
2025-03-16,27.95,65.44,2.25,17.5
2025-03-17,20.93,62.74,2.26,13.69
2025-03-18,26.08,78.31,1.12,18.41
2025-03-19,29.48,62.13,6.46,9.64
2025-03-20,27.69,71.8,3.49,6.73
2025-03-21,29.29,61.8,6.8,14.14
2025-03-22,26.33,52.27,2.44,14.56
2025-03-23,26.4,68.14,3.12,12.11
2025-03-24,27.56,70.03,4.19,7.38
2025-03-25,28.23,77.93,5.84,10.66
2025-03-26,27.59,63.9,4.12,13.85
2025-03-27,27.36,58.83,4.42,11.45
2025-03-28,24.99,70.63,4.03,11.65
2025-03-29,28.13,67.41,4.35,11.47
2025-03-30,27.37,67.81,1.77,9.2
2025-03-31,30.39,64.27,4.16,10.4
2025-04-01,30.6,76.6,3.63,7.72
2025-04-02,27.56,68.69,3.89,17.3
2025-04-03,25.87,84.05,4.98,10.57
2025-04-04,25.08,76.11,2.64,13.43
2025-04-05,28.27,71.59,3.83,8.93
2025-04-06,27.23,48.73,3.41,14.38
2025-04-07,25.97,71.02,4.83,6.38
2025-04-08,27.13,69.2,5.57,14.76
2025-04-09,25.14,73.11,2.09,11.89
2025-04-10,29.09,75.44,5.17,18.33
