Date,Temperature (°C),Humidity (%),Rainfall (mm),Wind Speed (km/h)
2025-01-01,26.75,76.62,1.7,14.61
2025-01-02,27.83,68.86,3.15,13.78
2025-01-03,21.59,53.67,3.7,8.7
2025-01-04,32.92,69.33,7.0,9.96
2025-01-05,22.62,61.96,5.74,12.54
2025-01-06,25.47,90.85,1.83,11.8
2025-01-07,29.51,83.35,5.33,9.64
2025-01-08,24.26,69.41,5.47,13.27
2025-01-09,24.83,57.81,1.88,14.46
2025-01-10,25.27,59.17,3.78,10.11
2025-01-11,29.65,61.75,0.3,14.37
2025-01-12,34.88,59.4,4.66,7.13
2025-01-13,28.12,55.98,3.37,7.17
2025-01-14,24.65,59.09,1.3,13.5
2025-01-15,29.62,62.24,2.6,9.5
2025-01-16,26.21,59.83,4.48,9.01
2025-01-17,27.94,58.01,2.89,11.21
2025-01-18,31.53,55.71,4.6,9.97
2025-01-19,25.76,90.5,5.11,12.98
2025-01-20,28.03,50.27,2.32,7.63
2025-01-21,25.37,54.79,3.38,10.89
2025-01-22,27.53,69.32,8.29,21.48
2025-01-23,28.77,61.76,4.24,12.33
2025-01-24,25.03,69.24,2.31,6.26
2025-01-25,26.98,72.99,4.12,13.8
2025-01-26,27.29,77.63,1.32,13.65
2025-01-27,26.09,72.52,6.27,16.15
2025-01-28,24.44,55.06,4.74,12.45
2025-01-29,23.74,76.09,6.17,10.04
2025-01-30,27.54,47.35,5.8,16.23
2025-01-31,27.19,63.86,4.78,14.14
2025-02-01,34.69,60.02,5.95,6.6
2025-02-02,20.7,54.39,4.38,14.24
2025-02-03,28.34,70.92,2.68,11.3
2025-02-04,29.11,63.17,1.95,15.33
2025-02-05,32.08,75.2,3.1,10.88
2025-02-06,29.51,50.18,0.0,14.36
2025-02-07,25.47,73.46,7.65,12.58
2025-02-08,28.0,69.98,0.57,13.76
2025-02-09,29.63,66.27,3.85,11.94
2025-02-10,27.06,50.81,1.36,10.76
2025-02-11,30.31,62.48,0.0,12.2
2025-02-12,22.4,49.53,3.84,13.9
2025-02-13,33.19,44.17,3.39,13.25
2025-02-14,32.4,97.8,3.68,16.85
2025-02-15,26.99,74.71,5.1,13.28
2025-02-16,29.83,82.93,2.76,13.91
2025-02-17,28.14,60.71,4.76,18.31
2025-02-18,25.51,71.96,5.03,12.2
2025-02-19,28.26,71.97,3.33,13.61
2025-02-20,31.0,71.02,3.43,10.19
2025-02-21,26.86,65.04,5.08,12.13
2025-02-22,26.87,62.72,4.11,16.93
2025-02-23,27.78,44.3,4.32,12.94
2025-02-24,29.3,71.1,0.0,16.35
2025-02-25,31.84,69.23,4.12,8.81
2025-02-26,26.1,76.18,4.75,7.8
2025-02-27,29.53,62.26,3.73,12.92
2025-02-28,28.65,82.42,4.67,7.89
2025-03-01,22.42,60.52,7.81,20.01
2025-03-02,26.74,52.45,4.17,15.75
2025-03-03,27.6,74.38,5.33,8.26
2025-03-04,27.88,60.32,2.3,11.5
2025-03-05,28.98,52.45,2.3,10.27
2025-03-06,21.88,66.25,3.04,13.25
2025-03-07,28.14,72.57,1.96,11.83
2025-03-08,25.97,67.41,3.98,14.8
2025-03-09,23.68,69.97,2.13,16.4
2025-03-10,29.57,106.09,3.65,11.34
2025-03-11,30.21,73.21,1.13,8.48
2025-03-12,26.04,80.32,0.7,13.69
2025-03-13,30.53,45.14,2.65,11.51
2025-03-14,26.86,68.65,1.87,15.43
2025-03-15,28.2,72.74,2.69,11.54
2025-03-16,24.7,61.36,2.78,14.49
2025-03-17,32.75,56.24,3.3,13.01
2025-03-18,20.02,68.97,6.09,11.43
2025-03-19,27.73,61.85,6.74,10.65
2025-03-20,30.09,59.06,5.45,14.14
2025-03-21,21.9,76.5,3.28,19.59
2025-03-22,27.43,78.36,6.99,14.51
2025-03-23,27.77,68.03,0.94,11.6
2025-03-24,30.47,60.46,0.0,14.12
2025-03-25,31.74,70.14,4.54,12.34
2025-03-26,26.79,73.29,4.0,8.16
2025-03-27,23.85,71.31,3.72,12.93
2025-03-28,32.1,50.47,4.07,16.64
2025-03-29,31.65,61.62,0.72,11.05
2025-03-30,26.61,68.59,1.69,8.62
2025-03-31,29.05,71.22,6.47,13.47
2025-04-01,29.15,74.61,6.06,17.49
2025-04-02,29.7,72.58,2.56,14.82
2025-04-03,28.61,53.66,7.87,15.06
2025-04-04,32.22,57.93,1.86,18.91
2025-04-05,22.79,52.79,2.86,16.86
2025-04-06,31.12,83.04,4.58,14.14
2025-04-07,29.14,66.8,1.61,11.37
2025-04-08,27.35,70.53,3.02,12.41
2025-04-09,31.52,75.33,3.65,11.69
2025-04-10,20.97,61.71,3.21,14.55
