Date,Temperature (°C),Humidity (%),Wind Speed (km/h),Rainfall (mm)
2025-01-01,23.108904159657687,75.85293712157961,15.57245355408654,5.234113674718119
2025-01-02,43.275000724347066,62.88770930752963,14.375456328891929,4.939575981439996
2025-01-03,35.619787963399176,44.76220930290622,0.7692619741930706,18.12509161042073
2025-01-04,30.95304694689628,85.10360157655589,10.237434828784693,4.990923996990122
2025-01-05,15.460652415485278,74.77849380431034,11.405868563575712,5.43899452257262
2025-01-06,15.459808211767092,33.00935514759131,11.964683426907015,15.187965248359276
2025-01-07,12.03292642588698,92.8741747595074,17.40517107681997,8.9947968490108
2025-01-08,40.31616510212273,85.80297943385352,16.008076401806353,15.534211139103624
2025-01-09,31.039025411012307,95.98399306335392,18.23715278380334,1.3073231512877048
2025-01-10,34.78254022286159,78.0575606710688,22.94649784626385,9.751423873467688
2025-01-11,10.720457300353086,69.07321567486319,24.389572161482803,0.6722720036656527
2025-01-12,43.9468448256698,53.45944290324951,21.543692286794837,1.2530640691070905
2025-01-13,39.13549242801476,94.61827866832108,28.66571087864804,18.12874906688822
2025-01-14,17.431868873739667,89.28511116003267,0.5469774802908489,2.7849074223519037
2025-01-15,16.36387385224852,23.617493608495156,5.873339570506383,10.64841364550434
2025-01-16,16.419157844870185,22.10935795978016,0.2268862493442636,8.221912052014131
2025-01-17,20.64847850358382,50.117069350243966,19.42424142463809,6.946866525176853
2025-01-18,28.366475107128323,84.84426646254663,26.94091646849961,17.99666691374545
2025-01-19,25.11807565247405,98.98209034519556,7.304468897288978,0.43646793550979
2025-01-20,20.193019906931468,32.033351288282255,27.8110363438892,13.275793723511782
2025-01-21,31.414851315283283,67.5304572281708,1.808021708686825,19.267888684271007
2025-01-22,14.882285122821465,50.47126853048172,28.03308080416543,11.20336366923684
2025-01-23,20.22506269873264,97.59315182516826,10.548680617189031,18.73644924066184
2025-01-24,22.822664515279207,87.36951385085669,3.042624853476496,1.0451575857204751
2025-01-25,25.962449447596256,87.06629637689103,14.576152775589769,8.375866381483227
2025-01-26,37.48115864875548,57.49545278359762,7.7032970316152385,5.203155819241023
2025-01-27,16.98858237554259,53.185560187013216,8.546187058857685,14.616419299614597
2025-01-28,27.998205344476407,41.8725657544565,9.218698947788598,19.625941809944933
2025-01-29,30.73450991017149,24.51003973207417,24.090776934979903,5.130601248884956
2025-01-30,11.62576444519992,89.17779010040425,16.174838300257633,13.083492029481487
2025-01-31,31.264069816550343,85.03208073040621,9.33923097468011,3.9619526551948026
2025-02-01,15.968344329055205,99.97741386289044,18.31001349932755,11.306605091432198
2025-02-02,12.276805754484784,99.73094696591244,21.484520226695807,9.278649733766724
2025-02-03,43.21099380386666,64.4345364482102,8.178720022006013,19.44010659263074
2025-02-04,43.79712115760958,81.51899321444084,12.406473045760546,12.170545453929332
2025-02-05,38.29390718407614,95.58125839059424,3.656582800108427,6.990127441736376
2025-02-06,20.66148192106797,87.97179125419292,5.4344804860404095,2.2819156977586674
2025-02-07,13.418523990223434,39.78784813945581,20.433535618949485,3.024936574698691
2025-02-08,33.94815592792549,56.04353082480748,5.443150430868808,4.506338599024701
2025-02-09,25.405337280886044,30.3327532121196,15.754901510011804,5.01933322680596
